Rx1 - L1,Rx1 - L2,Rx1 - L3,Rx1 - L4,Rx1 - L5,Rx1 - L6,Rx1 - L7,Rx1 - L8,Rx2 - L5,Rx2 - L6,Rx2 - L7,Rx2 - L8,Rx2 - L9,Rx2 - L10,Rx3 - L7,Rx3 - L8,Rx3 - L9,Rx3 - L10,Rx3 - L11,Rx3 - L12,Rx4 - L9,Rx4 - L10,Rx4 - L11,Rx4 - L12,Rx4 - L13,Rx4 - L14,Rx5 - L11,Rx5 - L12,Rx5 - L13,Rx5 - L14,Rx5 - L15,Rx5 - L16,Rx6 - L13,Rx6 - L14,Rx6 - L15,Rx6 - L16,Rx6 - L17,Rx6 - L18,Rx7 - L15,Rx7 - L16,Rx7 - L17,Rx7 - L18,Rx7 - L19,Rx7 - L20,Rx7 - L21,Rx7 - L22
S1_D1 760,S1_D1 850,S2_D1 760,S2_D1 850,S3_D1 760,S3_D1 850,S4_D1 760,S4_D1 850,S3_D2 760,S3_D2 850,S4_D2 760,S4_D2 850,S5_D2 760,S5_D2 850,S4_D3 760,S4_D3 850,S5_D3 760,S5_D3 850,S6_D3 760,S6_D3 850,S5_D4 760,S5_D4 850,S6_D4 760,S6_D4 850,S7_D4 760,S7_D4 850,S6_D5 760,S6_D5 850,S7_D5 760,S7_D5 850,S8_D5 760,S8_D5 850,S7_D6 760,S7_D6 850,S8_D6 760,S8_D6 850,S9_D6 760,S9_D6 850,S8_D7 760,S8_D7 850,S9_D7 760,S9_D7 850,S10_D7 760,S10_D7 850,S11_D7 760,S11_D7 850
3.5,3.5,1.0,1.0,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,1.0,1.0,3.5,3.5
